Gender,Height_in,Height_m,Weight,BMI
Male,73.84705689,1.875714232,109.7209851,Obesity
Male,68.7819412,1.747060363,73.62273185,Normal
Male,74.11014541,1.882396677,96.49755015,Overweight
Male,71.73101712,1.821966851,99.80950419,Obesity
Male,69.8818336,1.774997615,93.59861876,Overweight
Male,67.25305199,1.708226598,69.04221615,Normal
Male,68.7851184,1.747141064,83.42821885,Overweight
Male,68.34855242,1.736052294,76.19035195,Overweight
Male,67.01898584,1.702281321,79.80018673,Overweight
Male,63.45652824,1.611794947,70.94164201,Overweight
Male,71.19542073,1.80836271,84.64250139,Overweight
Male,71.6408438,1.81967645,96.95128455,Overweight
Male,64.76636411,1.64506476,75.80767932,Overweight
Male,69.28310749,1.75978998,85.93127231,Overweight
Male,69.24376964,1.758790799,84.56504714,Overweight
Male,67.64565621,1.71819874,78.10261398,Overweight
Male,72.41835572,1.839425242,88.91696224,Overweight
Male,63.97436025,1.624947873,78.41855902,Overweight
Male,69.64009749,1.768857521,84.36083528,Overweight
Male,67.93604153,1.725574523,82.74726813,Overweight
Male,67.91508687,1.725042275,78.9775925,Overweight
Male,69.43947738,1.763761773,89.68939099,Overweight
Male,66.14916769,1.680187952,67.66393615,Normal
Male,75.20601423,1.91023173,103.7645136,Overweight
Male,67.893233,1.724487187,73.48492123,Normal
Male,68.14406959,1.730858433,87.24568902,Overweight
Male,69.08966873,1.754876638,83.65831963,Overweight
Male,72.80088282,1.849141425,93.8156121,Overweight
Male,67.42127869,1.712499554,79.47563349,Overweight
Male,68.49645234,1.73980895,70.00858628,Normal
Male,68.6181476,1.742900008,85.051604,Overweight
Male,74.03384762,1.880458714,96.57437493,Overweight
Male,71.52825465,1.816816687,88.46506527,Overweight
Male,69.18019846,1.757176092,93.06964917,Obesity
Male,69.57723993,1.76726094,92.60721401,Overweight
Male,70.40096691,1.788183594,87.49949121,Overweight
Male,69.07620848,1.754534748,89.57908694,Overweight
Male,67.19355955,1.706715491,83.37518697,Overweight
Male,65.80735121,1.671505818,74.32187695,Overweight
Male,64.3042226,1.633326372,73.98449171,Overweight
Male,67.97437293,1.72654814,78.0793299,Overweight
Male,72.18946493,1.833611419,88.0174433,Overweight
Male,65.27038076,1.657866776,76.48366074,Overweight
Male,66.09021305,1.678690505,73.11605148,Overweight
Male,67.51035795,1.714762166,74.68858448,Overweight
Male,70.10482412,1.780661571,85.69364533,Overweight
Male,68.25187331,1.733596646,84.84916998,Overweight
Male,72.17274811,1.833186812,94.83287107,Overweight
Male,69.17989499,1.757168384,87.09616643,Overweight
Male,72.87039951,1.850907148,95.86326582,Overweight
Male,64.78261797,1.645477608,75.12010874,Overweight
Male,70.18358778,1.782662167,91.20461347,Overweight
Male,68.49148722,1.739682836,78.66372102,Overweight
Male,67.33086722,1.710203104,82.28507206,Overweight
Male,66.99098027,1.70156998,76.99166618,Overweight
Male,66.49958579,1.689088567,74.07589557,Overweight
Male,68.35309356,1.736167639,86.05103355,Overweight
Male,70.77449727,1.79767126,87.14629376,Overweight
Male,71.21596212,1.808884461,89.90123773,Overweight
Male,70.01340316,1.77833948,95.03954411,Obesity
Male,71.40322076,1.813640828,90.15585187,Overweight
Male,69.55204264,1.766620929,89.84728729,Overweight
Male,73.81857443,1.874990778,88.58225936,Overweight
Male,66.99691893,1.701720822,74.81696269,Overweight
Male,71.41850447,1.814029034,81.58482719,Normal
Male,65.27933545,1.658094225,70.42034882,Overweight
Male,68.27422832,1.734164463,83.69651972,Overweight
Male,72.76540925,1.848240397,100.0977942,Overweight
Male,68.09941658,1.729724247,83.14915395,Overweight
Male,68.89674327,1.749976334,89.10874364,Overweight
Male,69.28954738,1.759953553,83.73109116,Overweight
Male,70.52326261,1.791289903,94.13523529,Overweight
Male,69.66376285,1.769458621,80.37692367,Overweight
Male,67.59530532,1.716919828,73.98448494,Overweight
Male,72.50815955,1.841706258,98.07485943,Overweight
Male,71.25302407,1.809825834,92.83009475,Overweight
Male,71.80922567,1.823953347,91.13596374,Overweight
Male,72.24520448,1.835027203,100.1992756,Overweight
Male,66.51266359,1.689420743,89.10808505,Obesity
Male,66.02906967,1.677137464,76.49412231,Overweight
Male,67.57719043,1.71645971,82.29642716,Overweight
Male,68.24660544,1.733462842,90.10998495,Overweight
Male,73.82616687,1.875183626,107.9171281,Obesity
Male,69.80250206,1.772982595,78.49012935,Normal
Male,65.95961341,1.675373276,72.88493912,Overweight
Male,71.07905594,1.805407046,85.54877527,Overweight
Male,66.5962325,1.691543392,94.50394005,Obesity
