x_value,total_1,total_2
0,1000,1000
1,1000,995
2,1000,995
3,1007,991
4,1001,992
5,1002,988
6,996,994
7,992,992
8,998,991
9,992,991
10,999,989
11,1004,991
12,1011,993
13,1009,997
14,1016,1003
15,1011,999
16,1016,999
17,1013,994
18,1008,993
19,1012,995
20,1017,996
21,1018,991
22,1025,995
23,1022,994
24,1023,1000
25,1031,1005
26,1039,1011
27,1040,1014
28,1041,1013
29,1035,1009
30,1031,1009
31,1033,1006
32,1038,1006
33,1041,1011
34,1040,1012
35,1048,1014
36,1050,1009
37,1045,1006
38,1039,1005
39,1036,1001
40,1041,1002
41,1041,1000
42,1047,995
43,1055,991
44,1049,996
45,1050,993
46,1050,996
47,1057,1000
48,1057,1002
49,1052,998
50,1055,993
51,1059,990
52,1063,986
53,1070,989
54,1072,985
55,1072,989
56,1067,988
57,1063,984
58,1068,988
59,1075,991
60,1075,993
61,1070,998
62,1069,995
63,1070,999
64,1075,1003
65,1083,1008
66,1090,1003
67,1090,1008
68,1089,1011
69,1087,1006
70,1084,1009
71,1082,1005
72,1083,1007
73,1082,1008
74,1090,1009
75,1097,1015
76,1093,1018
77,1088,1013
78,1091,1018
79,1085,1016
80,1088,1013
81,1082,1011
82,1080,1010
83,1074,1010
84,1075,1010
85,1080,1016
86,1085,1013
87,1090,1015
88,1087,1015
89,1091,1010
90,1087,1011
91,1093,1013
92,1096,1009
93,1091,1005
94,1097,1001
95,1101,999
96,1100,998
97,1107,1004
98,1115,999
99,1115,998
100,1120,999
101,1119,1002
102,1127,1000
103,1131,1002
104,1136,999
105,1139,995
106,1147,990
107,1147,990
108,1143,986
109,1150,991
110,1157,991
111,1165,995
112,1166,997
113,1164,994
114,1162,997
115,1166,1003
116,1170,1009
117,1167,1015
118,1169,1014
119,1176,1010
120,1178,1012
121,1173,1007
122,1171,1005
123,1169,1008
124,1177,1010
125,1171,1008
126,1175,1013
127,1175,1014
128,1177,1013
129,1174,1009
130,1172,1007
131,1167,1013
132,1163,1017
133,1161,1017
134,1160,1022
135,1165,1025
136,1173,1028
137,1170,1031
138,1170,1029
139,1173,1034
140,1169,1030
141,1172,1034
142,1169,1036
143,1166,1042
144,1173,1037
145,1178,1041
146,1176,1044
147,1173,1044
148,1181,1046
149,1186,1047
150,1181,1046
151,1185,1052
152,1192,1052
153,1192,1052
154,1186,1052
155,1189,1054
156,1193,1051
157,1192,1047
158,1191,1042
159,1188,1037
160,1196,1041
161,1190,1038
162,1189,1033
163,1193,1034
164,1187,1035
165,1195,1031
166,1197,1031
167,1192,1027
168,1199,1032
169,1193,1030
170,1201,1031
171,1201,1028
172,1206,1027
173,1204,1031
174,1202,1032
175,1208,1027
176,1215,1027
177,1220,1027
178,1222,1027
179,1228,1022
180,1229,1019
181,1224,1017
182,1226,1013
183,1223,1016
184,1227,1019
185,1231,1019
186,1238,1014
187,1232,1010
188,1235,1010
189,1235,1008
190,1234,1008
191,1232,1007
192,1232,1009
193,1234,1013
194,1228,1017
195,1231,1019
196,1232,1021
197,1227,1021
198,1232,1018
199,1233,1014
200,1238,1017
201,1246,1012
202,1244,1015
203,1248,1012
204,1244,1013
205,1250,1012
206,1246,1007
207,1241,1005
208,1245,1010
209,1253,1013
210,1250,1008
211,1245,1011
212,1242,1013
213,1245,1009
214,1251,1004
215,1252,1009
216,1246,1009
217,1251,1014
218,1258,1011
219,1256,1009
220,1259,1011
221,1258,1006
222,1256,1008
223,1263,1003
224,1258,1008
225,1264,1003
226,1268,1007
227,1269,1006
228,1269,1009
229,1268,1014
230,1270,1019
231,1265,1018
232,1259,1022
233,1253,1028
234,1256,1033
235,1256,1030
236,1254,1028
237,1252,1026
238,1250,1027
239,1257,1033
240,1258,1031
241,1262,1033
242,1266,1036
243,1265,1041
244,1263,1043
245,1268,1049
246,1276,1048
247,1282,1051
248,1277,1050
249,1275,1050
250,1275,1048
251,1269,1047
252,1277,1044
253,1273,1046
254,1281,1044
255,1283,1045
256,1279,1047
257,1279,1047
258,1283,1051
259,1278,1052
260,1272,1053
261,1275,1056
262,1271,1052
263,1275,1047
264,1270,1049
265,1269,1053
266,1276,1048
267,1270,1052
268,1266,1058
269,1263,1055
270,1257,1059
271,1255,1055
272,1253,1059
273,1260,1065
274,1259,1066
275,1266,1061
276,1264,1062
277,1269,1058
278,1267,1061
279,1269,1056
280,1275,1058
281,1271,1064
282,1269,1069
283,1274,1067
284,1276,1071
285,1279,1075
286,1282,1078
287,1285,1083
288,1283,1084
289,1288,1086
290,1291,1092
291,1294,1092
292,1289,1092
293,1288,1094
294,1289,1093
295,1297,1094
296,1299,1098
297,1299,1093
298,1295,1099
299,1297,1100
300,1296,1095
301,1296,1092
302,1295,1087
303,1289,1082
304,1291,1083
305,1290,1088
306,1286,1094
307,1287,1100
308,1295,1098
309,1292,1100
310,1297,1100
311,1304,1101
312,1308,1098
313,1306,1103
314,1300,1098
315,1307,1103
316,1311,1102
317,1318,1104
318,1319,1110
319,1321,1107
320,1315,1106
321,1311,1101
322,1309,1104
323,1308,1102
324,1315,1102
325,1312,1107
326,1310,1105
327,1308,1107
328,1313,1106
329,1310,1103
330,1315,1104
331,1323,1103
332,1330,1099
333,1325,1105
334,1319,1100
335,1314,1106
336,1322,1106
337,1318,1101
338,1316,1107
339,1324,1111
340,1331,1106
341,1329,1105
342,1323,1107
343,1321,1111
344,1322,1112
345,1323,1109
346,1324,1111
347,1327,1106
348,1331,1106
349,1326,1107
350,1329,1112
351,1326,1113
352,1324,1110
353,1322,1107
354,1323,1104
355,1318,1100
356,1314,1103
357,1308,1103
358,1307,1101
359,1314,1107
360,1319,1106
361,1326,1112
362,1326,1117
363,1331,1114
364,1329,1116
365,1337,1122
366,1343,1121
367,1337,1124
368,1338,1121
369,1337,1118
370,1339,1117
371,1339,1119
372,1333,1114
373,1330,1109
374,1336,1107
375,1332,1108
376,1340,1112
377,1340,1115
378,1334,1115
379,1329,1114
380,1325,1109
381,1328,1112
382,1324,1111
383,1319,1112
384,1315,1108
385,1309,1105
386,1305,1101
387,1304,1096
388,1312,1095
389,1318,1092
390,1314,1088
391,1309,1093
392,1311,1099
393,1317,1098
394,1317,1103
395,1314,1099
396,1313,1097
397,1308,1100
398,1314,1098
399,1311,1100
400,1314,1104
401,1312,1101
402,1308,1101
403,1306,1098
404,1301,1104
405,1307,1104
406,1308,1105
407,1304,1106
408,1301,1106
409,1297,1110
410,1297,1109
411,1295,1109
412,1296,1109
413,1297,1109
414,1297,1106
415,1296,1109
416,1299,1107
417,1304,1110
418,1301,1109
419,1308,1112
420,1313,1114
421,1309,1112
422,1307,1107
423,1301,1105
424,1303,1108
425,1303,1103
426,1298,1106
427,1294,1104
428,1293,1100
429,1287,1100
430,1292,1095
431,1292,1094
432,1298,1095
433,1292,1096
434,1286,1099
435,1287,1105
436,1282,1104
437,1279,1109
438,1275,1111
439,1275,1114
440,1273,1118
441,1278,1120
442,1281,1117
443,1283,1122
444,1278,1118
445,1275,1122
446,1270,1124
447,1271,1125
448,1265,1121
449,1262,1127
450,1266,1128
451,1274,1129
452,1270,1129
453,1277,1126
454,1275,1129
455,1271,1128
456,1267,1127
457,1263,1130
458,1259,1135
459,1255,1131
460,1257,1133
461,1261,1129
462,1256,1133
463,1259,1128
464,1254,1133
465,1258,1139
466,1258,1143
467,1256,1144
468,1256,1139
469,1253,1137
470,1261,1139
471,1261,1143
472,1263,1142
473,1257,1144
474,1263,1148
475,1264,1154
476,1261,1152
477,1257,1157
478,1263,1158
479,1261,1154
480,1264,1149
481,1263,1147
482,1269,1143
483,1277,1149
484,1274,1152
485,1268,1151
486,1276,1151
487,1280,1151
488,1287,1149
489,1291,1147
490,1293,1148
491,1291,1154
492,1297,1150
493,1302,1147
494,1301,1149
495,1299,1152
496,1306,1154
497,1302,1159
498,1300,1160
499,1297,1157
500,1302,1159
501,1296,1155
502,1302,1158
503,1307,1161
504,1302,1164
505,1307,1162
506,1307,1158
507,1312,1164
508,1306,1160
509,1307,1163
510,1305,1169
511,1303,1173
512,1301,1179
513,1307,1182
514,1313,1179
515,1309,1174
516,1312,1178
517,1311,1183
518,1310,1188
519,1315,1183
520,1311,1179
521,1319,1175
522,1327,1175
523,1327,1181
524,1323,1178
525,1324,1177
526,1331,1183
527,1332,1185
528,1332,1186
529,1336,1192
530,1332,1191
531,1327,1189
532,1327,1189
533,1335,1190
534,1339,1194
535,1336,1191
536,1337,1187
537,1342,1184
538,1342,1187
539,1347,1188
540,1350,1190
541,1350,1186
542,1356,1192
543,1362,1190
544,1358,1193
545,1352,1193
546,1358,1190
547,1353,1195
548,1359,1193
549,1359,1191
550,1359,1188
551,1360,1187
552,1363,1193
553,1362,1193
554,1360,1192
555,1363,1197
556,1360,1199
557,1366,1200
558,1364,1195
559,1371,1192
560,1369,1198
561,1370,1202
562,1376,1200
563,1380,1201
564,1377,1202
565,1381,1204
566,1380,1210
567,1383,1210
568,1378,1212
569,1381,1218
570,1376,1220
571,1378,1225
572,1377,1225
573,1377,1226
574,1383,1226
575,1385,1221
576,1386,1220
577,1388,1225
578,1389,1221
579,1387,1217
580,1386,1217
581,1385,1215
582,1384,1219
583,1384,1215
584,1388,1217
585,1390,1212
586,1391,1207
587,1396,1202
588,1394,1199
589,1391,1202
590,1386,1204
591,1387,1201
592,1388,1197
593,1390,1203
594,1384,1206
595,1381,1209
596,1379,1210
597,1378,1212
598,1375,1207
599,1382,1205
600,1379,1205
601,1386,1205
602,1392,1207
603,1394,1203
604,1389,1202
605,1388,1202
606,1383,1204
607,1385,1208
608,1391,1212
609,1391,1210
610,1398,1213
611,1401,1219
612,1399,1215
613,1395,1217
614,1396,1213
615,1403,1211
616,1405,1214
617,1406,1211
618,1414,1214
619,1410,1209
620,1416,1205
621,1414,1208
622,1413,1210
623,1420,1210
624,1421,1216
625,1428,1220
626,1435,1220
627,1437,1221
628,1440,1220
629,1444,1224
630,1442,1229
631,1444,1228
632,1439,1233
633,1442,1236
634,1436,1238
635,1440,1233
636,1441,1232
637,1449,1236
638,1452,1235
639,1449,1230
640,1448,1235
641,1452,1240
642,1448,1243
643,1451,1242
644,1448,1245
645,1449,1246
646,1445,1242
647,1448,1242
648,1446,1239
649,1449,1236
650,1447,1235
651,1443,1241
652,1451,1243
653,1448,1246
654,1447,1244
655,1448,1250
656,1456,1248
657,1454,1251
658,1459,1249
659,1457,1247
660,1453,1245
661,1455,1245
662,1461,1249
663,1467,1244
664,1467,1246
665,1462,1246
666,1458,1243
667,1464,1246
668,1463,1243
669,1466,1247
670,1471,1245
671,1479,1247
672,1483,1250
673,1491,1256
674,1493,1251
675,1499,1250
676,1500,1253
677,1501,1248
678,1495,1252
679,1498,1249
680,1495,1250
681,1493,1246
682,1495,1245
683,1493,1248
684,1488,1247
685,1486,1246
686,1482,1244
687,1484,1240
688,1490,1239
689,1488,1245
690,1488,1243
691,1493,1245
692,1500,1242
693,1508,1243
694,1502,1246
695,1509,1246
696,1516,1252
697,1512,1253
698,1520,1249
699,1514,1248
700,1515,1243
701,1513,1245
702,1520,1251
703,1515,1248
704,1519,1245
705,1520,1241
706,1514,1243
707,1520,1249
708,1523,1252
709,1525,1258
710,1522,1262
711,1521,1260
712,1518,1264
713,1513,1269
714,1507,1264
715,1502,1270
716,1500,1272
717,1504,1278
718,1504,1278
719,1505,1279
720,1511,1278
721,1517,1279
722,1521,1284
723,1524,1287
724,1519,1289
725,1527,1294
726,1524,1291
727,1530,1297
728,1536,1298
729,1542,1295
730,1538,1290
731,1537,1294
732,1535,1293
733,1532,1293
734,1526,1290
735,1521,1296
736,1515,1296
737,1523,1298
738,1527,1304
739,1532,1301
740,1531,1305
741,1532,1303
742,1531,1300
743,1532,1301
744,1526,1300
745,1530,1296
746,1529,1293
747,1536,1289
748,1532,1290
749,1531,1285
750,1539,1280
751,1540,1276
752,1547,1281
753,1552,1281
754,1560,1283
755,1562,1289
756,1562,1295
757,1558,1290
758,1565,1286
759,1572,1291
760,1579,1288
761,1575,1288
762,1583,1286
763,1580,1281
764,1577,1276
765,1573,1281
766,1574,1285
767,1574,1281
768,1581,1283
769,1588,1284
770,1590,1289
771,1592,1288
772,1600,1284
773,1597,1290
774,1602,1289
775,1603,1292
776,1606,1295
777,1608,1291
778,1604,1297
779,1602,1299
780,1601,1303
781,1601,1307
782,1599,1312
783,1597,1315
784,1592,1314
785,1596,1310
786,1594,1316
787,1599,1322
788,1603,1321
789,1597,1321
790,1594,1319
791,1593,1316
792,1588,1313
793,1584,1317
794,1583,1317
795,1587,1312
796,1586,1309
797,1580,1315
798,1580,1315
799,1588,1314
800,1587,1311
801,1583,1312
802,1591,1308
803,1586,1311
804,1588,1312
805,1588,1310
806,1588,1312
807,1588,1307
808,1588,1307
809,1588,1303
810,1595,1304
811,1593,1305
812,1590,1305
813,1594,1301
814,1599,1296
815,1601,1292
816,1605,1292
817,1609,1293
818,1614,1296
819,1617,1294
820,1623,1289
821,1619,1290
822,1615,1289
823,1621,1285
824,1621,1287
825,1623,1284
826,1627,1288
827,1635,1293
828,1638,1288
829,1640,1289
830,1648,1289
831,1651,1295
832,1645,1301
833,1650,1303
834,1645,1298
835,1653,1302
836,1656,1298
837,1656,1304
838,1660,1309
839,1665,1305
840,1662,1304
841,1665,1303
842,1664,1308
843,1659,1313
844,1666,1317
845,1662,1312
846,1670,1316
847,1675,1316
848,1669,1321
849,1664,1321
850,1658,1322
851,1662,1325
852,1670,1324
853,1670,1322
854,1677,1328
855,1672,1332
856,1678,1329
857,1681,1334
858,1681,1329
859,1685,1326
860,1682,1324
861,1679,1330
862,1677,1331
863,1682,1332
864,1681,1329
865,1681,1334
866,1676,1335
867,1675,1338
868,1672,1341
869,1676,1347
870,1671,1343
871,1672,1343
872,1677,1343
873,1680,1348
874,1682,1347
875,1681,1348
876,1688,1350
877,1691,1351
878,1699,1348
879,1705,1353
880,1703,1352
881,1704,1351
882,1702,1346
883,1696,1348
884,1702,1350
885,1704,1349
886,1701,1352
887,1696,1348
888,1693,1353
889,1698,1352
890,1702,1347
891,1708,1342
892,1703,1343
893,1703,1346
894,1704,1350
895,1702,1356
896,1700,1355
897,1705,1351
898,1701,1347
899,1696,1344
900,1700,1347
901,1697,1349
902,1697,1349
903,1700,1351
904,1703,1349
905,1698,1348
906,1700,1354
907,1707,1354
908,1707,1358
909,1715,1357
910,1717,1355
911,1719,1360
912,1721,1355
913,1719,1357
914,1715,1356
915,1721,1353
916,1719,1350
917,1723,1353
918,1731,1349
919,1737,1352
920,1737,1347
921,1745,1343
922,1742,1345
923,1750,1343
924,1756,1349
925,1756,1344
926,1756,1344
927,1754,1345
928,1748,1341
929,1742,1340
930,1740,1339
931,1738,1344
932,1736,1350
933,1731,1348
934,1737,1351
935,1741,1349
936,1749,1345
937,1751,1348
938,1747,1354
939,1750,1357
940,1754,1363
941,1751,1361
942,1747,1359
943,1754,1357
944,1757,1362
945,1761,1362
946,1766,1361
947,1770,1359
948,1774,1364
949,1769,1365
950,1774,1364
951,1779,1359
952,1777,1354
953,1775,1351
954,1778,1356
955,1783,1362
956,1778,1367
957,1780,1369
958,1780,1364
959,1774,1364
960,1774,1365
961,1774,1370
962,1780,1369
963,1786,1367
964,1780,1364
965,1779,1367
966,1785,1363
967,1786,1360
968,1789,1363
969,1786,1359
970,1792,1362
971,1792,1358
972,1792,1364
973,1798,1364
974,1798,1361
975,1796,1356
976,1794,1359
977,1798,1361
978,1800,1367
979,1802,1371
980,1805,1374
981,1802,1378
982,1805,1377
983,1813,1378
984,1821,1384
985,1823,1389
986,1829,1394
987,1837,1398
988,1844,1393
989,1842,1394
990,1848,1392
991,1854,1396
992,1857,1401
993,1859,1399
994,1853,1401
995,1848,1396
996,1848,1395
997,1843,1390
998,1838,1393
999,1843,1394
1000,1849,1394
1001,1851,1395
1002,1846,1390
1003,1845,1388
1004,1841,1390
1005,1843,1394
1006,1839,1394
1007,1836,1395
1008,1831,1397
1009,1826,1401
1010,1822,1396
1011,1830,1400
1012,1838,1406
1013,1845,1401
1014,1839,1405
1015,1845,1400
1016,1842,1397
1017,1850,1398
1018,1845,1394
1019,1840,1398
1020,1844,1402
1021,1844,1408
1022,1849,1405
1023,1851,1404
1024,1845,1409
1025,1845,1407
1026,1851,1408
1027,1858,1412
1028,1862,1417
1029,1859,1420
1030,1855,1417
1031,1860,1420
1032,1867,1421
1033,1874,1423
1034,1879,1421
1035,1877,1420
1036,1879,1421
1037,1875,1427
1038,1883,1425
1039,1888,1425
1040,1894,1424
1041,1901,1427
1042,1908,1422
1043,1908,1419
1044,1905,1414
1045,1902,1411
1046,1903,1412
1047,1904,1410
1048,1903,1407
1049,1903,1407
1050,1900,1410
1051,1900,1410
1052,1902,1413
